Day,Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
Wednesday,2021-09-08 00:00:00,59.9841,9.1734504699707,36.424682617188,26.012447357178,232.76112365723,231.26950073242,232.16098022461,8.824919700622601,9.5418386459351,55161507.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 00:15:00,60.0147,9.3041706085205,35.871646881104,24.832420349121,232.70275878906,231.03266906738,231.97410583496,8.8942346572876,9.3221549987793,55163640.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 00:30:00,59.9632,9.5594072341919,30.584312438965,24.770090103149,232.42959594727,230.84008789062,231.75077819824,8.228554725647,8.6404571533203,55165791.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 00:45:00,60.0227,9.1637907028198,31.80739402771,29.910606384277,232.65615844727,230.88627624512,231.7633972168,8.9015808105469,9.4351806640625,55168040.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 01:00:00,59.962,9.7956829071045,31.497066497803,29.881252288818,233.13346862793,231.49914550781,232.40299987793,9.0125741958618,9.5004777908325,55170210.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 01:15:00,60.0153,9.1673049926758,32.148300170898,29.635316848755,232.13288879395,230.33544921875,231.33988952637,8.794536590576199,9.4232759475708,55172372.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 01:30:00,60.002,9.5913581848145,29.745956420898,29.56867980957,232.3293762207,230.59194946289,231.60371398926,8.672829627990701,9.164457321167,55174528.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 01:45:00,59.9874,9.2825117111206,37.724632263184,31.0231590271,232.39701843262,230.43807983398,231.6721496582,9.7449245452881,10.367950439453,55176708.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 02:00:00,59.9781,9.1585178375244,28.641700744629,30.614833831787,232.8766784668,231.21923828125,232.24723815918,8.5722208023071,9.1228981018066,55178922.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
Wednesday,2021-09-08 02:15:00,59.9682,9.1769609451294,30.151626586914,24.858669281006,233.48741149902,231.70533752441,232.83505249023,8.1096572875977,8.578961372375499,55181032.0,83.44536035226456,23.58998507214454,80.3515625,24.025632798486,72.69921875000001,25.303013769901423
