gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.99,0.001,0.995,0.02,64,50000,200,1,256,0.9179079328925631,14.791666666666668,1.4132347118985273,1.2137412662258964,510.1821360349653,461.9633376026153,8.2092067107437,-27.079688312547972,-21.04274320136197,0.16096154565014603,0.0
0.9,0.0003,0.995,0.01,64,50000,200,1,256,0.8874708435368165,19.166666666666668,1.520471473199429,1.2708041768701497,510.1821360349653,441.48423229217514,11.252915646318357,-25.224693445967837,-15.964140722220737,0.08296233519076572,0.06962355168424678
0.9,0.0003,0.99,0.02,64,50000,200,1,256,0.8274472602723151,22.291666666666668,1.539045141488916,1.2732805936056484,510.1821360349653,408.35348252058026,17.25527397276848,-23.15755182276606,-14.344648396515904,0.08876632383985206,0.07264507523832246
0.95,0.0003,0.99,0.01,64,50000,200,1,256,0.797051625765462,23.958333333333336,1.6308940009576236,1.2762182924321288,510.1821360349653,393.4890563201904,20.29483742345381,-24.22982891205927,-16.14745084203045,0.08157543171144024,0.07622941791851502
0.99,0.0001,0.99,0.005,64,50000,200,1,256,0.9801130410680529,15.208333333333332,1.2958835035936445,1.2842797077347192,510.1821360349653,488.35551684617997,1.9886958931947192,-24.73986006786613,-15.019065672314383,0.09207558267039635,0.08606530533875488
0.9,0.0003,0.995,0.005,64,50000,200,1,256,0.7774359324548783,25.41666666666667,1.6749269115570677,1.2857692657882116,510.1821360349653,387.67923788547495,22.25640675451217,-25.356042592403185,-14.923959852462094,0.09545056479956154,0.08788274368799297
0.99,0.0003,0.995,0.005,64,50000,200,1,256,0.83030058979848,22.916666666666664,1.5877494625760806,1.2886339231318131,510.1821360349653,412.540298140049,16.969941020152003,-25.806425388682886,-14.878671492233886,0.09618671732026823,0.09137796705406541
0.9,0.001,0.99,0.02,64,50000,200,1,256,0.8749329841181772,20.833333333333336,1.5201391622772105,1.291599650784844,510.1821360349653,431.397726175785,12.506701588182263,-23.473395467323208,-14.814871643978847,0.052360032687449286,0.09499650824309581
0.95,0.0003,0.99,0.005,64,50000,200,1,256,1.0731987983359246,11.041666666666668,1.2626295334889508,1.2940321316692578,510.1821360349653,534.1637933087347,-7.3198798335924575,-24.10523932258893,-19.22242854059098,0.09213709523621043,0.097964424822619
0.99,0.0003,0.99,0.005,64,50000,200,1,256,0.8653777931634096,21.458333333333332,1.5323113360188405,1.2945444598300762,510.1821360349653,433.02203107833856,13.462220683659037,-23.865951783389864,-14.313345974587742,0.07807273300519868,0.098589526237554
0.9,0.0001,0.995,0.01,64,50000,200,1,256,0.7286802505406716,28.333333333333336,1.7349621110270985,1.2953469172073384,510.1821360349653,358.29917873620985,27.131974945932843,-25.999599669403512,-14.846684780376034,0.09355444101945234,0.09956861987384838
0.9,0.0001,0.99,0.005,64,50000,200,1,256,1.007955773783173,14.791666666666666,1.2593475737871587,1.3037891071165062,510.1821360349653,505.8148248791693,-0.7955773783172951,-24.67536643952875,-20.48387004636343,0.1526787673862889,0.10986909769443365
0.95,0.0003,0.998,0.005,64,50000,200,1,256,0.9046692208028798,20.208333333333336,1.5604327458661726,1.3088358874695467,510.1821360349653,452.0643613266942,9.533077919712008,-26.819861386486423,-17.336695116317234,0.069277492515532,0.11602677119516917
0.95,0.0003,0.998,0.01,64,50000,200,1,256,0.7916170841783162,26.041666666666668,1.6112261265817467,1.3124504175116498,510.1821360349653,388.66103814363476,20.838291582168374,-27.01864106784904,-14.390091042906414,0.09429618731780817,0.12043692862246073
0.9,0.0003,0.998,0.005,64,50000,200,1,256,0.7419788482206111,28.75,1.7514488025566102,1.316978848220611,510.1821360349653,367.0076410841942,25.802115177938884,-26.975763672490825,-15.12346081755239,0.07204767633744799,0.12596215378104886
0.99,0.001,0.995,0.005,64,50000,200,1,256,0.9590607389598805,17.916666666666664,1.4478311171471343,1.3173940722932138,510.1821360349653,485.2086888837813,4.09392610401194,-28.069082026634362,-26.932759834205672,0.2640650372939435,0.12646877663559672
0.9,0.0003,0.998,0.01,64,50000,200,1,256,0.7995839736488146,26.041666666666668,1.627614220334832,1.3204173069821479,510.1821360349653,392.1453958320617,20.041602635118544,-27.05142241990388,-13.884651183695814,0.09944766889452071,0.1301574832620577
0.95,0.0003,0.995,0.02,64,50000,200,1,256,0.7235885637570936,30.0,1.7900429864499514,1.3235885637570937,510.1821360349653,358.8798427629471,27.641143624290635,-26.425864119073374,-16.387726413110197,0.10784308311408815,0.13402679447457103
0.95,0.001,0.998,0.02,64,50000,200,1,256,1.1512047268790668,8.75,1.081935316861048,1.326204726879067,510.1821360349653,579.329997563362,-15.120472687906698,-26.7699447003516,-19.375103732479154,0.09197257357160048,0.1372188252749747
0.9,0.0001,0.998,0.005,64,50000,200,1,256,0.9535747583811647,18.75,1.319422885962335,1.328574758381165,510.1821360349653,476.0627302432059,4.642524161883536,-27.127333817373238,-15.183519370963703,0.11055593016561084,0.14011054616541996
0.99,0.0001,0.995,0.005,64,50000,200,1,256,1.100317846597095,11.666666666666666,1.0194590290447478,1.3336511799304287,510.1821360349653,558.1332928586004,-10.031784659709523,-26.28266222662497,-15.730812681368738,0.11295799531605377,0.14630438545815477
0.9,0.0003,0.998,0.02,64,50000,200,1,256,1.103276749141859,11.666666666666666,1.0455731976598857,1.3366100824751923,510.1821360349653,557.3931227755545,-10.327674914185895,-26.835871336145555,-16.352872164600665,0.12433845163191203,0.1499145992016899
0.95,0.0001,0.998,0.02,64,50000,200,1,256,0.8121395559778776,26.666666666666664,1.6787330214052738,1.345472889311211,510.1821360349653,404.5459616971016,18.786044402212237,-27.05526923536288,-16.11532253360226,0.08872772724467719,0.1607282798017204
0.9,0.001,0.99,0.005,64,50000,200,1,256,0.6371484364310933,35.625,1.9205985364896097,1.3496484364310934,510.1821360349653,314.92646871566774,36.285156356890674,-23.128151671769192,-16.129195315292606,0.07471675990820778,0.1658229449253339
0.99,0.001,0.99,0.005,64,50000,200,1,256,1.1797572365753237,8.541666666666666,1.0109582746278498,1.350590569908657,510.1821360349653,594.8692701196669,-17.97572365753237,-25.05014657961779,-20.668093319612666,0.15697030229267533,0.16697246005044789
0.9,0.001,0.995,0.02,64,50000,200,1,256,0.7077492498975518,32.5,1.8125275327717727,1.357749249897552,510.1821360349653,348.9857453894615,29.22507501024482,-26.25724250428575,-16.007409439599748,0.10777854714373807,0.1757069028009251
0.95,0.0001,0.998,0.005,64,50000,200,1,256,0.8287890921871733,26.458333333333336,1.62044055840644,1.35795575885384,510.1821360349653,409.2938363409042,17.121090781282664,-27.226360589885342,-14.942314837865794,0.12034322566458078,0.1759588683391187
0.9,0.001,0.995,0.01,64,50000,200,1,256,1.0,17.916666666666664,1.3445745807173264,1.3583333333333332,510.1821360349653,510.1821360349653,0.0,-27.979304147218,-27.683624268201008,0.31385815975444137,0.17641955420303357
