gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.95,0.0003,0.99,0.01,64,50000,200,1,256,0.9549386302628406,24.375,1.884032334331571,1.4424386302628407,511.54481630325336,469.8993463706972,4.50613697371594,-25.709821010889478,-26.681201084231066,0.6216452343951141,0.0
0.99,0.0001,0.99,0.005,64,50000,200,1,256,1.0480437951709483,23.541666666666668,1.6752191011646667,1.5188771285042817,511.54481630325336,530.2594833993913,-4.804379517094839,-27.886247191055315,-26.380927693096517,0.7321857536253225,0.0900093908405691
0.95,0.0001,0.99,0.005,64,50000,200,1,256,1.0283066310123903,24.999999999999996,1.8113065990300228,1.5283066310123903,511.54481630325336,522.5098220252992,-2.8306631012390358,-26.700847102619303,-29.712521536141377,0.7265858669359503,0.10111300742397716
0.99,0.0003,0.995,0.01,64,50000,200,1,256,1.0786970459326861,22.5,1.5614369184562205,1.528697045932686,511.54481630325336,538.3474826669695,-7.869704593268603,-27.74988147667952,-23.50767754617474,0.7020088890897116,0.10157273661750339
0.95,0.001,0.99,0.01,64,50000,200,1,256,0.8519099287229774,35.833333333333336,2.032325575878159,1.568576595389644,511.54481630325336,407.5860625672343,14.809007127702245,-24.86482431728748,-21.26778121732127,0.5098479352034015,0.14853250213093772
0.95,0.0003,0.998,0.01,64,50000,200,1,256,0.9330349985986578,31.875,1.890544226171934,1.5705349985986579,511.54481630325336,446.50902943134344,6.696500140134232,-28.474796093135133,-21.76994419539121,0.5284375131083969,0.15083860028721974
0.99,0.0001,0.995,0.005,64,50000,200,1,256,1.092895653207917,24.166666666666668,1.5481498094848152,1.5762289865412504,511.54481630325336,536.5754368495943,-9.28956532079171,-27.936326159990067,-22.839454945816875,0.6131593088231948,0.1575434989699158
0.9,0.0001,0.99,0.02,64,50000,200,1,256,0.8945823416975578,34.16666666666667,1.9992994260489347,1.5779156750308911,511.54481630325336,431.62777165412945,10.541765830244211,-26.052067429576674,-21.897355526370646,0.5081550046906547,0.15952964216978377
0.9,0.0003,0.998,0.02,64,50000,200,1,256,1.0829925972075811,24.791666666666668,1.615434279099965,1.5788259305409145,511.54481630325336,528.5595981168749,-8.299259720758117,-28.501233205800588,-20.65837228052822,0.5697524942657753,0.16060150446236415
0.99,0.001,0.995,0.02,64,50000,200,1,256,0.7430883299387818,42.083333333333336,2.230297583694884,1.5847549966054486,511.54481630325336,354.4135497188571,25.691167006121823,-28.46807594006263,-21.34082034883171,0.4885838653745846,0.16758321704175755
0.95,0.0001,0.995,0.02,64,50000,200,1,256,0.998274522403235,29.791666666666664,1.8381256257143843,1.5941078557365682,511.54481630325336,481.15576649189023,0.1725477596765085,-27.453171117594092,-23.2408136974663,0.5198358418337478,0.1785965829814003
0.9,0.0001,0.995,0.02,64,50000,200,1,256,0.9045976570442742,34.583333333333336,1.8692207176243447,1.5962643237109408,511.54481630325336,451.3554428482057,9.540234295572596,-27.67005333489741,-25.514562120691405,0.6330467293447192,0.18113591032568407
0.9,0.0003,0.998,0.005,64,50000,200,1,256,0.6936974655921134,45.41666666666667,2.312089965743364,1.602030798925447,511.54481630325336,330.9195141744616,30.630253440788657,-28.51250978283686,-21.33275528667926,0.4841737123213088,0.18792616567208675
0.99,0.0001,0.998,0.01,64,50000,200,1,256,1.1176365651980913,25.208333333333332,1.6382317581278723,1.621803231864758,511.54481630325336,550.2253531718258,-11.763656519809128,-29.08007071472514,-23.636400646461365,0.49745576051581786,0.2112089967748375
