gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.95,0.0003,0.998,0.01,64,50000,200,1,256,0.9131563918665682,32.916666666666664,2.032398048855992,1.5714897251999016,556.9643049478531,483.73291695833194,8.68436081334318,-29.039606571182,-21.22641040953175,0.5382919672541459,0.0
0.9,0.0001,0.995,0.01,64,50000,200,1,256,0.8372720988105928,38.33333333333333,2.156394753491373,1.6039387654772597,556.9643049478531,450.79259999990455,16.27279011894071,-28.03247926553676,-21.91046533835629,0.5556076358935708,0.04491030658541945
0.99,0.0001,0.99,0.005,64,50000,200,1,256,0.6994060306231009,46.041666666666664,2.422184473465562,1.620239363956434,556.9643049478531,371.3310391664505,30.059396937689918,-27.336532429418476,-19.972664261854653,0.4802132958535903,0.06747075425870111
0.95,0.0003,0.995,0.01,64,50000,200,1,256,0.864678387923702,37.916666666666664,2.1775415810861998,1.6230117212570356,556.9643049478531,460.6081386613846,13.532161207629793,-27.652584738085363,-22.74112277714233,0.4907107451102029,0.07130776808931412
0.9,0.0001,0.99,0.01,64,50000,200,1,256,1.15089445672506,23.958333333333336,1.6001302368476769,1.6300611233917266,556.9643049478531,628.5418626999855,-15.089445672506017,-26.578111290833505,-25.021550747902502,0.6692468788308835,0.08106432200914726
0.99,0.001,0.995,0.005,64,50000,200,1,256,0.8174975583467499,40.83333333333333,2.2687730900081324,1.6341642250134165,556.9643049478531,439.42853564262384,18.25024416532501,-27.750637664109586,-23.684767676997147,0.5027009272032489,0.08674312021723495
0.95,0.0003,0.99,0.01,64,50000,200,1,256,0.6360840101662367,50.625,2.5206127287740427,1.6485840101662368,556.9643049478531,345.39936675071715,36.39159898337633,-26.17505506725065,-21.03851952042846,0.472399823429309,0.10670047385770336
0.99,0.0003,0.995,0.005,64,50000,200,1,256,0.7867045597657847,43.125,2.2454958327997416,1.6492045597657845,556.9643049478531,414.0731276869773,21.329544023421526,-27.372205149377294,-19.206086812797597,0.5023736015352601,0.10755933046883688
0.9,0.0003,0.998,0.02,64,50000,200,1,256,0.7979857231572661,43.54166666666667,2.2459969342198467,1.6688190564905994,556.9643049478531,420.8324550437927,20.20142768427338,-28.517066455136863,-18.566624618952595,0.48845659778202233,0.1347062985733081
0.9,0.0001,0.99,0.02,64,50000,200,1,256,0.6321345397972454,51.875,2.5495173466651146,1.6696345397972454,556.9643049478531,342.34536947011946,36.786546020275466,-27.079411795636425,-20.86474254324378,0.4578982334038381,0.13583494845027597
0.99,0.001,0.99,0.005,64,50000,200,1,256,0.8251080188903182,42.70833333333333,2.2883124027347046,1.679274685556985,556.9643049478531,435.9032652258872,17.489198110968196,-27.30467985665578,-23.8909979198988,0.4806587821066598,0.14917715820124122
0.99,0.0001,0.998,0.02,64,50000,200,1,256,1.190479256494135,24.583333333333332,1.615224260505554,1.6821459231608018,556.9643049478531,651.8529130172728,-19.04792564941352,-29.154013304243286,-24.84053894859477,0.5842632399623635,0.15315102491547433
0.95,0.0001,0.99,0.02,64,50000,200,1,256,0.8674611076136187,41.875,2.2041407154779975,1.7049611076136189,556.9643049478531,457.3492484855651,13.25388923863812,-26.861106893682724,-17.57200702740653,0.4767620379479544,0.18472782718206923
0.95,0.001,0.998,0.02,64,50000,200,1,256,1.2246040356141341,24.166666666666664,1.5385187284948283,1.7079373689474675,556.9643049478531,675.468089108467,-22.460403561413422,-28.593574047402473,-27.807060517363453,0.7102960258557076,0.188847049440693
0.9,0.0003,0.99,0.005,64,50000,200,1,256,0.8134708379183199,44.791666666666664,2.263601527169565,1.709304171251653,556.9643049478531,433.2790118598938,18.652916208168016,-25.54038610837806,-18.261326627674883,0.4867286312893589,0.19073873899446572
0.99,0.001,0.995,0.02,64,50000,200,1,256,0.6514964637619873,52.916666666666664,2.5590474843591293,1.709829797095321,556.9643049478531,345.50661013603184,34.850353623801254,-28.680248748612552,-23.006219134874392,0.45167978059990527,0.1914662186852847
0.9,0.0001,0.995,0.005,64,50000,200,1,256,0.6664666033290729,52.291666666666664,2.498176735139639,1.7122999366624065,556.9643049478531,357.4053141808512,33.353339667092705,-27.357020744103124,-20.323075942534977,0.4615930746401313,0.1948849553973223
0.9,0.0001,0.998,0.005,64,50000,200,1,256,0.7932857579082901,46.041666666666664,2.340346294070952,1.7141190912416235,556.9643049478531,417.8078258919716,20.671424209170997,-28.65924342306686,-17.70459398068769,0.46594744531048615,0.19740271213775545
0.9,0.0001,0.99,0.005,64,50000,200,1,256,1.2860854021598622,21.458333333333336,1.270532206816251,1.7152520688265287,556.9643049478531,714.7063095235824,-28.608540215986217,-26.757418452125016,-23.94439483660505,0.7954562980777294,0.1989707822642548
0.9,0.001,0.998,0.01,64,50000,200,1,256,0.8556913006893732,43.125,2.192170379497909,1.718191300689373,556.9643049478531,452.2699078893662,14.430869931062691,-28.475845545664253,-17.985207937960304,0.48099062870746334,0.20303875478232267
0.9,0.001,0.99,0.02,64,50000,200,1,256,0.9143225328213591,40.416666666666664,2.05072384977107,1.7226558661546925,556.9643049478531,477.32952526807776,8.567746717864098,-25.079106765773815,-17.468755966964395,0.4611373938582115,0.20921782824965354
