gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.95,0.001,0.998,0.02,64,50000,200,1,256,1.0846016703351662,18.124999999999996,1.6536412910735288,1.4471016703351662,562.4907386779784,609.2787200140953,-8.460167033516607,-28.21839582794532,-20.231771263235025,0.10331325974114322,0.0
0.95,0.0003,0.99,0.01,64,50000,200,1,256,0.7129455603745415,36.87500000000001,2.3092515069316257,1.4504455603745414,562.4907386779784,397.4879361200331,28.705443962545854,-26.138406599749118,-19.041761998594136,0.21858265570911586,0.004416912755943844
0.95,0.001,0.99,0.02,64,50000,200,1,256,0.831639840235629,32.916666666666664,2.171821485364273,1.4899731735689623,562.4907386779784,461.2958385753629,16.8360159764371,-26.29900104841955,-19.507910211595465,0.11919666718885193,0.05662856352035547
0.95,0.0001,0.99,0.02,64,50000,200,1,256,0.6216380430895387,43.75,2.4807792960943105,1.4966380430895387,562.4907386779784,349.04242982149117,37.836195691046136,-27.222456821198886,-20.144435289770875,0.18861230005142798,0.06543212669243752
0.9,0.0003,0.998,0.005,64,50000,200,1,256,0.8051699388475786,34.58333333333333,2.2608571302716602,1.4968366055142452,562.4907386779784,451.23814373254766,19.483006115242144,-28.13248371675981,-18.793584732065177,0.1348155283239064,0.0656944059229774
0.9,0.0003,0.99,0.005,64,50000,200,1,256,0.8011097883968095,36.04166666666667,2.194175873617,1.5219431217301427,562.4907386779784,449.68591421365744,19.889021160319047,-26.44290014735003,-18.9764005365024,0.191287836633247,0.09885736595620535
0.95,0.0001,0.995,0.01,64,50000,200,1,256,0.7907066870853445,36.66666666666667,2.2340841515381458,1.524040020418678,562.4907386779784,436.91050029754643,20.929331291465548,-27.637397893788425,-19.037738553816176,0.17764720614163707,0.10162713961988834
0.95,0.0003,0.998,0.01,64,50000,200,1,256,0.7866219147340547,37.291666666666664,2.1707598616031527,1.5324552480673883,562.4907386779784,439.91126516342155,21.337808526594525,-28.25006415137172,-19.19281077058344,0.3506344417997317,0.1127427343039484
0.9,0.0003,0.99,0.01,64,50000,200,1,256,1.1910202625161959,17.08333333333333,1.4296806252589824,1.5326869291828622,562.4907386779784,671.3508789348601,-19.10202625161958,-26.344631097566122,-22.002356056813603,0.20692032747471964,0.11304875970017798
0.99,0.0001,0.99,0.005,64,50000,200,1,256,1.0267476680749967,25.416666666666664,1.7341421373648978,1.5350810014083298,562.4907386779784,578.2629595065116,-2.6747668074996667,-27.568956451960418,-20.759370308139662,0.3521245769166071,0.11621106708074444
0.99,0.001,0.995,0.02,64,50000,200,1,256,0.8989383022844712,31.874999999999993,1.9974398253864856,1.5364383022844712,562.4907386779784,501.86030833005896,10.106169771552878,-28.224948932227147,-20.815777758391295,0.3608626592474742,0.11800391298263983
0.9,0.0003,0.998,0.02,64,50000,200,1,256,1.1447800269466744,19.583333333333336,1.50026867828397,1.536446693613341,562.4907386779784,650.5288356566427,-14.47800269466743,-28.15241339375499,-21.70255192001317,0.3002047871097827,0.11801499700965261
0.95,0.0001,0.995,0.005,64,50000,200,1,256,0.9659922285175769,28.541666666666664,1.9876671478119792,1.5368255618509103,562.4907386779784,542.3599480628967,3.40077714824231,-27.257382277684947,-20.681816402194503,0.10436106824187195,0.1185154404846584
0.9,0.001,0.995,0.005,64,50000,200,1,256,0.6981323477191884,42.083333333333336,2.4474588433716753,1.539799014385855,562.4907386779784,388.9557289791106,30.186765228081168,-26.6264728731753,-19.39845514720756,0.14628883205132445,0.12244304584133604
0.95,0.0001,0.99,0.005,64,50000,200,1,256,0.8247093769545035,35.83333333333333,2.0636497530197793,1.54137604362117,562.4907386779784,461.39913005113584,17.529062304549647,-26.8198897779185,-22.096365940288784,0.39017459112138925,0.1245261288566079
0.95,0.0003,0.995,0.02,64,50000,200,1,256,0.9263146166773275,31.041666666666664,2.088124780280171,1.5471479500106606,562.4907386779784,521.0578984761239,7.368538332267255,-27.776667102890826,-19.408043677839782,0.09418173227465901,0.13215018546662077
0.9,0.001,0.998,0.01,64,50000,200,1,256,1.1128796124422546,21.875,1.5773867418104082,1.5503796124422546,562.4907386779784,627.9555766034125,-11.28796124422546,-28.39392427352155,-22.424312702694102,0.21371627636095017,0.13641885783590693
0.9,0.0003,0.995,0.01,64,50000,200,1,256,1.0679640935026378,24.375,1.7777094751064861,1.5554640935026378,562.4907386779784,599.1234582948682,-6.796409350263784,-27.674810248402558,-19.78913901322516,0.12609773329342566,0.1431349008243174
0.9,0.0001,0.998,0.02,64,50000,200,1,256,0.6815023691120117,43.75,2.414424474192215,1.5565023691120117,562.4907386779784,379.3953757762907,31.849763088798834,-28.307828992676455,-18.779599070369,0.1673244827973244,0.1445063492658713
0.99,0.0001,0.995,0.005,64,50000,200,1,256,0.996725005023808,28.541666666666668,1.8044573887614965,1.5675583383571414,562.4907386779784,566.1956154680249,0.32749949761920727,-27.628007284367953,-20.80718723689474,0.4752514283295069,0.15911007457176116
0.9,0.001,0.99,0.02,64,50000,200,1,256,0.6262687678103764,47.291666666666664,2.532744785166618,1.57210210114371,562.4907386779784,350.6318472599982,37.37312321896235,-26.26294411431696,-17.913624235868284,0.24166615254582335,0.16511188790164194
0.9,0.0003,0.995,0.02,64,50000,200,1,256,1.1566414026321996,20.833333333333332,1.7226077551489205,1.5733080692988661,562.4907386779784,655.8805074644088,-15.664140263219966,-27.46970533144372,-21.016363994230893,0.020626403506842785,0.16670483984236026
