gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.9,0.0001,0.998,0.02,64,50000,200,1,256,0.9319665578972909,31.875,2.0989605609283766,1.5694665578972908,516.0853303909302,467.5471882534025,6.803344210270902,-28.27899987860431,-29.61923087553085,0.6140033662986358,0.0
0.99,0.0003,0.995,0.01,64,50000,200,1,256,0.8796935672568612,36.66666666666667,2.1469558521826215,1.6130269005901947,516.0853303909302,429.2255711197851,12.03064327431387,-27.498883794899598,-20.86432790346352,0.511240540535629,0.06137852052529312
0.9,0.001,0.995,0.02,64,50000,200,1,256,0.7483064534165912,45.0,2.6394970666812534,1.6483064534165912,516.0853303909302,353.76687260150914,25.169354658340886,-28.259305632317897,-22.426061156921484,0.38323467701947916,0.11108902837285632
0.9,0.0001,0.99,0.005,64,50000,200,1,256,0.9605226352115188,35.0,2.0004512916111445,1.6605226352115188,516.0853303909302,471.347850539684,3.947736478848121,-26.024282984023266,-20.795438438754452,0.5059392243377454,0.12830218875423277
0.95,0.0001,0.995,0.01,64,50000,200,1,256,1.0319332982746263,31.666666666666664,1.866919913968647,1.6652666316079596,516.0853303909302,508.41930417060837,-3.1933298274626205,-27.68770148580213,-22.31306428804347,0.5496387937469,0.1349866972358039
0.95,0.0001,0.99,0.005,64,50000,200,1,256,1.1711127211788788,24.791666666666664,1.5487608008983227,1.6669460545122121,516.0853303909302,583.5285715150832,-17.111272117887864,-27.13470671414637,-24.603747492246736,0.5849074179614725,0.1373530811259862
0.99,0.001,0.99,0.005,64,50000,200,1,256,1.1124905233003637,27.916666666666664,1.7351774504808042,1.670823856633697,516.0853303909302,547.829567902088,-11.249052330036363,-26.190636623395683,-24.308054428897588,0.5403798292365085,0.14281708215060077
0.9,0.0003,0.998,0.02,64,50000,200,1,256,1.2080032395960472,23.333333333333332,1.5061151841985894,1.6746699062627137,516.0853303909302,600.2650841856,-20.800323959604718,-28.492245637830354,-20.31686944416267,0.5878712090953467,0.14823634245716288
0.9,0.0001,0.995,0.005,64,50000,200,1,256,0.7633237849466598,45.833333333333336,2.3716371629146296,1.6799904516133264,516.0853303909302,374.86741200208655,23.66762150533402,-27.47003834685691,-23.308980847592796,0.4718289403402601,0.1557332348556134
0.95,0.0003,0.99,0.01,64,50000,200,1,256,1.0552506736375296,31.458333333333332,1.8012783157944683,1.6844173403041964,516.0853303909302,540.4008762311935,-5.525067363752961,-26.23291796151243,-26.886362428437046,0.7043962073989558,0.16197092403752197
0.95,0.0003,0.998,0.01,64,50000,200,1,256,0.6865174162311423,50.0,2.5022307631770997,1.6865174162311423,516.0853303909302,335.87616083860377,31.34825837688578,-28.191159911783558,-21.985012925163453,0.4404423017784396,0.16493002732776574
0.95,0.0001,0.995,0.02,64,50000,200,1,256,0.9409370249470275,37.291666666666664,2.0994752966766335,1.6867703582803606,516.0853303909302,467.98458127021775,5.90629750529725,-27.528888853915124,-24.7035853003376,0.5276770933078662,0.16528643427500003
0.95,0.0003,0.995,0.005,64,50000,200,1,256,1.1929320198640478,24.791666666666664,1.496597108210564,1.6887653531973812,516.0853303909302,600.6778345251082,-19.293201986404796,-27.27752957720611,-25.009990601852724,0.6375432007507736,0.1680974736032593
0.95,0.0001,0.998,0.005,64,50000,200,1,256,1.119210005085599,28.541666666666668,1.7428600401570684,1.6900433384189324,516.0853303909302,553.4211725330351,-11.921000508559905,-28.17570128789966,-25.320034710873966,0.54343889147571,0.16989821338864167
0.95,0.0003,0.995,0.01,64,50000,200,1,256,0.6819484484009987,50.83333333333333,2.5207571385935,1.6986151150676654,516.0853303909302,334.4941261076925,31.805155159900135,-27.612764729118418,-23.737009660100487,0.4294704426538444,0.18197623978713906
0.99,0.0001,0.995,0.005,64,50000,200,1,256,1.2109532700010615,24.999999999999996,1.486037898160887,1.710953270001062,516.0853303909302,614.3861677789687,-21.09532700010616,-27.972103657979744,-25.553504169558668,0.674578460815805,0.19936126591428868
0.99,0.0001,0.99,0.005,64,50000,200,1,256,0.9404337076528687,38.74999999999999,2.0905148083481704,1.7154337076528687,516.0853303909302,460.40103646039944,5.9566292347131355,-26.6302261520895,-20.030389059843298,0.525360637327942,0.2056744080379047
0.9,0.001,0.995,0.005,64,50000,200,1,256,0.9187182991836991,40.20833333333333,2.141402919071445,1.722884965850366,516.0853303909302,444.2079190874098,8.128170081630094,-26.450215053007575,-16.791627760732244,0.4703523066937041,0.21617357255179748
0.9,0.001,0.99,0.02,64,50000,200,1,256,0.8815081047326382,42.50000000000001,2.247077553298625,1.731508104732638,516.0853303909302,426.50495646238323,11.849189526736192,-25.123678869063905,-16.959908905247925,0.4475187079313958,0.22832397069281585
