Day,Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
Tuesday,2021-09-07 00:00:00,60.0576,10.216508865356,24.682174682617,30.909797668457,233.96501159668,232.10580444336,233.31878662109,8.0236358642578,8.8185682296753,54711467.0,71.5,24.11,65.6525,25.7825,73.5375,23.455
Tuesday,2021-09-07 00:15:00,60.0222,10.344166755676,28.648448944092,31.121105194092,234.26371765137,232.26931762695,233.5691986084,8.6875047683716,9.4009704589844,54713730.0,71.515,24.055,65.875,25.605,73.525,23.45
Tuesday,2021-09-07 00:30:00,59.9686,10.197577476501,21.796955108643,30.324169158936,233.70065307617,231.73245239258,232.99447631836,7.6617107391357,8.341748237609899,54715680.0,71.665,23.935,66.025,25.53,73.68,23.29
Tuesday,2021-09-07 00:45:00,59.978,18.037992477417,33.640853881836,30.974849700928,233.75686645508,231.87528991699,233.3553314209,9.96959400177,11.083728790283,54717683.0,71.765,24.035,66.035,25.595,73.8775,23.3175
Tuesday,2021-09-07 01:00:00,60.0422,10.340274810791,25.634880065918,29.723751068115,233.86022949219,232.05014038086,233.17324829102,8.093071937561,8.8005619049072,54719932.0,71.77,24.04,66.235,25.495,73.98,23.355
Tuesday,2021-09-07 01:15:00,60.0028,10.227536201477,25.212423324585,29.967617034912,234.47764587402,232.60389709473,233.7286529541,8.1319484710693,8.7825012207031,54721787.0,71.77,24.115,66.615,25.3475,73.995,23.3925
Tuesday,2021-09-07 01:30:00,59.9848,18.025936126709,32.469764709473,25.163837432861,234.14822387695,232.25277709961,233.56684875488,9.413369178772,10.164147377014,54723713.0,71.62,23.985,66.63,25.45,74.055,23.205
Tuesday,2021-09-07 01:45:00,59.9484,10.325469970703,22.608869552612,25.827939987183,233.94929504395,232.13111877441,233.33245849609,7.3627371788025,7.8784132003784,54725749.0,71.9075,23.9525,66.33,25.4725,74.27,23.1875
Tuesday,2021-09-07 02:00:00,60.0094,10.222811698914,19.915803909302,26.350412368774,234.94332885742,233.11836242676,234.15885925293,7.064913749694799,7.6065282821655,54727612.0,71.845,24.015,66.335,25.505,74.15,23.31
Tuesday,2021-09-07 02:15:00,60.0185,18.436204910278,32.498764038086,27.472915649414,233.47009277344,231.71519470215,233.06419372559,9.4996147155762,10.507576942444,54729552.0,71.845,24.0325,66.225,25.5825,74.235,23.21
Tuesday,2021-09-07 02:30:00,60.0275,10.899032592773,27.131425857544,27.654312133789,233.8722076416,232.00775146484,233.17359924316,8.1664571762085,8.798896789550799,54731779.0,71.695,24.025,66.16,25.5,74.03,23.23
Tuesday,2021-09-07 02:45:00,60.0369,10.228323936462,23.354730606079,30.845394134521,234.31109619141,232.4701385498,233.63873291016,7.880304813385,8.6483182907104,54733725.0,71.67,24.0775,66.135,25.55,74.035,23.265
Tuesday,2021-09-07 03:00:00,60.0296,10.693954467773,22.259313583374,27.199594497681,234.29699707031,232.46417236328,233.63555908203,7.5026245117188,8.0773792266846,54735710.0,71.62,24.16,66.15,25.525,74.08,23.2225
Tuesday,2021-09-07 03:15:00,59.9694,10.236978530884,24.457378387451,25.896739959717,234.53439331055,232.51852416992,233.8365020752,7.0691599845886,8.1420860290527,54737899.0,71.6175,24.0475,66.145,25.46,74.215,23.13
Tuesday,2021-09-07 03:30:00,59.9733,10.692448616028,24.042026519775,25.241785049438,234.28244018555,232.36851501465,233.53845214844,7.5994257926941,8.0501947402954,54739739.0,71.63,24.04,66.33,25.3275,74.1025,23.24
Tuesday,2021-09-07 03:45:00,59.9781,10.414753913879,24.024269104004,25.956985473633,234.33949279785,232.45707702637,233.63255310059,7.5298848152161,8.108101844787601,54741594.0,71.555,24.05,66.46,25.285,74.005,23.33
Tuesday,2021-09-07 04:00:00,59.9834,23.992748260498,36.751686096191,29.945848464966,234.78652954102,232.80445861816,234.23983764648,11.209466934204,12.225069046021002,54743872.0,71.5975,24.0325,66.5025,25.25,74.1725,23.2125
Tuesday,2021-09-07 04:15:00,59.9502,10.218873023987,21.245897293091,31.241687774658,234.38926696777,232.45867919922,233.71768188477,7.6999464035034,8.4203262329102,54746215.0,71.875,23.965,66.55,25.285,74.44,23.16
Tuesday,2021-09-07 04:30:00,59.9757,10.928540229797,27.697074890137,30.300792694092,234.52877807617,232.58880615234,233.7336730957,8.415016174316401,9.255844116210898,54748156.0,71.9325,23.9525,66.8925,25.1775,74.62,23.14
Tuesday,2021-09-07 04:45:00,60.011,17.907632827759,28.09651184082,30.953786849976,234.9049987793,232.93200683594,234.31632995605,9.4373416900635,10.372939109802,54750199.0,72.02,23.94,67.06,25.14,74.78,23.075
Tuesday,2021-09-07 05:00:00,59.9745,10.696966171265,21.737403869629,30.887910842896,234.42776489258,232.55271911621,233.66836547852,7.8369727134705,8.5055742263794,54752283.0,72.18,23.8475,67.3225,25.0675,74.795,23.1
Tuesday,2021-09-07 05:15:00,59.9697,10.348057746887,22.093030929565,29.975410461426,234.1837310791,232.42796325684,233.51702880859,7.745456218719499,8.3769702911377,54754181.0,72.14,23.81,67.445,24.975,74.885,23.065
Tuesday,2021-09-07 05:30:00,60.01,19.414262771606,20.795080184937,25.325853347778,234.6251373291,232.9186706543,233.8660736084,8.4411582946777,8.8401336669922,54756097.0,72.1375,23.91,67.455,24.9975,74.825,23.12
Tuesday,2021-09-07 05:45:00,60.0298,17.893688201904,28.831102371216,25.951709747314,234.63600158691,232.74282836914,233.93881225586,8.977519989013699,9.7863636016846,54758235.0,71.99,23.91,67.395,24.99,74.5175,23.1775
Tuesday,2021-09-07 06:00:00,59.9707,10.915270805359,24.24312210083,23.364036560059,233.79750061035,232.18887329102,233.45611572266,7.1389751434326,7.8480353355408,54760097.0,71.965,23.7975,67.36,24.97,74.535,23.125
Tuesday,2021-09-07 06:15:00,60.0435,7.5734715461731,20.292654037476,24.855754852295,235.1976776123,233.25946044922,234.41778564453,6.5412616729736,7.0975923538208,54761876.0,71.92,23.78,67.275,24.96,74.325,23.115
Tuesday,2021-09-07 06:30:00,59.988,8.2978744506836,18.158107757568,25.306770324707,235.3607635498,233.85971069336,234.66000366211,6.4199171066284,6.984469890594499,54763587.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-09-07 06:45:00,59.9629,7.9550752639771,34.02375793457,26.275751113892,233.90805053711,232.19491577148,233.34100341797,8.1520957946777,9.1329879760742,54765758.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-09-07 07:00:00,60.034,8.3336973190308,28.425842285156,26.536443710327,232.91200256348,231.40788269043,232.26531982422,7.748818397522,8.4418935775757,54767777.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
