gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.95,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.499489968994331,1.0416666666666665,-12.674134685075357,0.4343377467891519,1.5203233023276643,443.21519112586986,664.5967331991471,-49.94899689943311,0.0
0.95,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1167222044018141,20.833333333333336,-19.24883209866667,1.3227746538076237,1.5333888710684809,443.21519112586986,494.94824525845274,-11.672220440181409,0.01425604095204546
0.95,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.518819197348659,1.0416666666666665,-13.968751219395736,0.4025846209566057,1.5396525306819921,443.21519112586986,673.1637408385261,-51.88191973486589,0.02109041530889488
0.9,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.144998390023017,19.791666666666664,-14.00501646222919,1.3648281393614032,1.5408317233563502,443.21519112586986,507.48068027286473,-14.499839002301693,0.022377050386898377
0.95,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.2514045533866678,14.583333333333334,-12.098510003566174,1.165165819887412,1.5430712200533345,443.21519112586986,554.6415083050558,-25.14045533866679,0.02482059932514258
0.99,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5289393383124867,1.0416666666666665,-14.994344265005106,0.3961843090120702,1.54977267164582,443.21519112586986,677.6491410500298,-52.893933831248674,0.03213265517481794
0.99,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.4700140567440203,4.166666666666666,-18.8953661478883,0.527169320544065,1.5533473900773536,443.21519112586986,651.5325611175163,-47.00140567440202,0.03603308487389197
0.95,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.5535981773095673,0.0,-10.454229140541162,0.2814400608333745,1.5535981773095673,443.21519112586986,688.5783130890629,-55.35981773095673,0.03630672264072871
0.9,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.5543556390937157,0.0,-11.496954277195007,0.2645457505175287,1.5543556390937157,443.21519112586986,688.9140316584948,-55.43556390937157,0.03713320072435738
0.95,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5555794140963872,0.0,-10.5541521186619,0.27160174183242064,1.5555794140963872,443.21519112586986,689.456427330199,-55.55794140963872,0.03846848025946662
0.95,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1807188459083433,18.75,-13.075615191904543,1.2610610912934785,1.5557188459083433,443.21519112586986,523.3125289551829,-18.07188459083433,0.03862061643208146
0.95,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.2026045699892631,17.708333333333336,-13.68126109866751,1.2289522018014833,1.5567712366559299,443.21519112586986,533.0126143366358,-20.260456998926315,0.03976889599746149
0.9,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.5374145086005564,1.0416666666666665,-11.231319483743224,0.34831767863137175,1.5582478419338897,443.21519112586986,681.4054652690809,-53.741450860055636,0.04138004249480758
0.95,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.5610574749248034,0.0,-12.261209360911828,0.29699347791709174,1.5610574749248034,443.21519112586986,691.8843871072645,-56.105747492480326,0.044445675822620996
0.95,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.5035656985225505,3.125,-15.498258904468111,0.4489099843575935,1.5660656985225505,443.21519112586986,666.4031584409743,-50.35656985225505,0.0499102248309959
0.9,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,1.5707403265400108,0.0,-10.707927645387315,0.25914137314057994,1.5707403265400108,443.21519112586986,696.1759740365421,-57.07403265400109,0.055010782623348735
0.95,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,1.5738627377766845,0.0,-12.798140364348289,0.24965118255832433,1.5738627377766845,443.21519112586986,697.559874129578,-57.38627377766845,0.05841769305657683
0.95,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,1.1580365293797918,20.833333333333336,-13.29769841374432,1.3644537574316984,1.5747031960464586,443.21519112586986,513.2593816998035,-15.803652937979193,0.05933472986913856
0.99,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.554190896697411,1.0416666666666665,-12.256062643768526,0.40814976028186467,1.5750242300307442,443.21519112586986,688.8410153258301,-55.4190896697411,0.05968501493653687
0.99,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5757307403628023,0.0,-13.717998344804489,0.22184601337026935,1.5757307403628023,443.21519112586986,698.3878012528078,-57.57307403628021,0.06045589911514884
0.95,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.575825587767132,0.0,-11.036991494481086,0.24507824586051027,1.575825587767132,443.21519112586986,698.4298390632457,-57.58255877671322,0.06055938856188817
0.9,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.555221907383814,1.0416666666666665,-10.413240162474684,0.33979083420899725,1.5760552407171473,443.21519112586986,689.297974924257,-55.522190738381404,0.06080996639168803
0.99,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.4535736289717336,6.25,-18.06266409334436,0.6975966863072371,1.5785736289717336,443.21519112586986,644.2459137802311,-45.35736289717336,0.06355781815403608
0.95,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.5603779348613933,1.0416666666666665,-12.275260092799403,0.4787431394876727,1.5812112681947266,443.21519112586986,691.5832046281826,-56.03779348613933,0.06643578646338648
0.9,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.5616853143289715,1.0416666666666665,-10.910901069789215,0.3307705929911378,1.5825186476623048,443.21519112586986,692.1626550687793,-56.168531432897154,0.06786228810287756
0.95,0.0003,0.1,0.01,0.95,0.5,0.5,10,256,256,1.5201072628626129,3.125,-11.44126575639079,0.42848615650008304,1.5826072628626129,443.21519112586986,673.7346310414758,-52.010726286261274,0.06795897749693507
0.9,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5840381444750256,0.0,-10.829301338810899,0.1859358694345447,1.5840381444750256,443.21519112586986,702.0697689541668,-58.40381444750257,0.06952023420674508
0.9,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.585112336762938,0.0,-10.741828662154829,0.22565153422720569,1.585112336762938,443.21519112586986,702.5458672943598,-58.51123367629382,0.07069230176466258
0.9,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.5863162123516992,0.0,-10.390998723543508,0.22286681342066736,1.5863162123516992,443.21519112586986,703.0794432435243,-58.631621235169916,0.07200586874632263
0.9,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.586906085792954,0.0,-10.218224268480759,0.20697093844318804,1.586906085792954,443.21519112586986,703.3408841135301,-58.6906085792954,0.07264948863779988
