gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.99,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,1.258486086305403,8.333333333333332,-7.624714987626367,1.2906766697009915,1.4251527529720698,435.6486068963994,548.2577102974507,-25.848608630540305,0.0
0.99,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,1.3477302159903195,4.166666666666666,-7.720657538684324,1.0733200649119912,1.4310635493236528,435.6486068963994,587.1367910683662,-34.77302159903196,0.005699741454457244
0.95,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.476276275698102,0.0,-9.42935179404369,1.0516231212011817,1.476276275698102,435.6486068963994,643.137702902083,-47.62762756981021,0.049298071604415065
0.95,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.4001108326155876,4.166666666666666,-7.085055473142424,1.2904843754820572,1.4834441659489208,435.6486068963994,609.9563337295385,-40.01108326155875,0.0562100203120795
0.99,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1561863230080522,16.666666666666664,-7.074751512764115,1.166230432613661,1.4895196563413855,435.6486068963994,503.6909609311284,-15.618632300805233,0.062068575130469365
0.99,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.3274671048681306,8.333333333333332,-7.549051415240314,1.17501053593855,1.494133771534797,435.6486068963994,578.3091949365976,-32.74671048681306,0.06651793560225855
0.99,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.0006543173747848,25.0,-6.672904939749247,1.6979258506575157,1.5006543173747848,435.6486068963994,435.9336593491925,-0.06543173747848713,0.07280565441698536
0.9,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.0975761408718059,20.833333333333336,-6.962486618030239,1.631495626780274,1.5142428075384726,435.6486068963994,478.1575167335284,-9.75761408718058,0.08590894474921167
0.9,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.3540156021690242,8.333333333333332,-6.806565304294097,1.1964869389006474,1.520682268835691,435.6486068963994,589.8750108009247,-35.40156021690241,0.09211847428076092
0.9,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,0.9392910039290506,29.166666666666668,-6.79366541509759,1.7178828831174084,1.522624337262384,435.6486068963994,409.2008173320113,6.070899607094937,0.09399119789710589
0.95,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.1934179727081966,16.666666666666664,-7.39754504438068,1.6486225206073033,1.5267513060415299,435.6486068963994,519.910877255451,-19.34179727081967,0.09797080633437659
0.9,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1141780894178694,20.833333333333336,-7.284863432345072,1.57830076838202,1.5308447560845362,435.6486068963994,485.3901324893867,-11.41780894178694,0.10191809287819813
0.95,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.9554345585708363,29.166666666666668,-6.306906644175972,1.9356060621759092,1.5387678919041696,435.6486068963994,416.2337344220611,4.456544142916375,0.10955831984496978
0.9,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,1.0428659659309851,25.0,-6.947883737455632,1.6562755780978098,1.5428659659309851,435.6486068963994,454.3231052375016,-4.286596593098517,0.11351006526550339
0.95,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.209646051606223,16.666666666666664,-8.27136255546099,1.353794738111183,1.5429793849395563,435.6486068963994,526.9806172199811,-20.964605160622312,0.11361943445815094
0.99,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.3012695526780373,12.5,-7.629966846259959,1.3003378801171661,1.5512695526780373,435.6486068963994,566.8962678208877,-30.12695526780373,0.1216135878535339
0.99,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.0629699282008023,25.0,-6.61233681237282,1.9961838563789682,1.5629699282008023,435.6486068963994,463.08136839344513,-6.296992820080217,0.13289618184477503
0.9,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,0.905725507753989,33.33333333333333,-6.620223037269755,2.0107559402699424,1.5723921744206555,435.6486068963994,394.5780556835593,9.427449224601098,0.14198199096066816
0.95,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.0786796675327308,25.0,-6.447475287260684,1.446381410157787,1.5786796675327308,435.6486068963994,469.9252944481054,-7.867966753273073,0.148044978586001
0.99,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.2456734093188662,16.666666666666664,-7.46688731184676,1.262515034185875,1.5790067426521994,435.6486068963994,542.6758854176524,-24.567340931886626,0.1483603749397694
0.9,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.9994075333314598,29.166666666666668,-6.621365840859498,1.6735249949718698,1.582740866664793,435.6486068963994,435.3904996176173,0.05924666685401406,0.15196116579174387
0.99,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.599833632304143,0.0,-11.354203224775471,1.3896554275507267,1.599833632304143,435.6486068963994,696.9652931793064,-59.98336323041432,0.1684436055665188
0.99,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.8509832061020084,37.5,-6.730279061078013,1.9088356094799797,1.6009832061020084,435.6486068963994,370.72964823057146,14.90167938979916,0.16955213190390409
