gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.9,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,0.786289569983075,37.5,-6.702747719931418,1.8122100095530924,1.536289569983075,532.291211128235,418.53502750379005,21.371043001692502,0.0
0.99,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.9547721657533556,29.166666666666668,-7.004239486104804,1.4709963998295732,1.538105499086689,532.291211128235,508.21683246038157,4.52278342466444,0.0012085842075988582
0.9,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,0.7933222491215516,37.5,-6.939437341816399,1.6907100097509196,1.5433222491215517,532.291211128235,422.27846079988603,20.66777508784484,0.004680570913785994
0.95,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.9183361412076112,33.33333333333333,-7.603020598876325,1.698765581109655,1.5850028078742777,532.291211128235,488.8222568262292,8.166385879238879,0.03242089677352856
0.95,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.8468145530655594,37.5,-8.610517574851814,1.6327721893802833,1.5968145530655593,532.291211128235,450.75194405228166,15.318544693444053,0.040282155604588935
0.99,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,0.9951717071629965,33.33333333333333,-7.158108304663744,1.5647273544053515,1.6618383738296632,532.291211128235,529.7211532863446,0.4828292837003527,0.08355849427708244
0.99,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.163798287095629,25.0,-6.893779904520732,1.4019463072724092,1.663798287095629,532.291211128235,619.4795997470976,-16.379828709562887,0.08486290655661234
0.9,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.0080377107060836,33.33333333333333,-6.882591083255457,1.4923506823411912,1.6747043773727501,532.291211128235,536.5696138946746,-0.8037710706083612,0.09212141045378779
0.99,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.0041258523746082,37.5,-7.042671203450128,1.529385638095858,1.7541258523746082,532.291211128235,534.4873660856515,-0.41258523746082404,0.14498004917510401
0.9,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,0.9244776831566738,41.66666666666667,-6.751158003490905,1.6513116362680833,1.7578110164900074,532.291211128235,492.09134562849056,7.552231684332623,0.14743269512004634
0.9,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.764425392298386,50.0,-7.404540055360084,1.7560959805954621,1.764425392298386,532.291211128235,406.89691788368407,23.55746077016139,0.15183486595877624
0.9,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,0.8600345002137874,45.83333333333333,-6.83578823116202,1.7907619891096704,1.776701166880454,532.291211128235,457.78880573086315,13.996549978621262,0.16000495765806377
0.95,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.7896130765522185,50.0,-6.822728303640768,1.814570581018224,1.7896130765522185,532.291211128235,420.3041008406721,21.038692344778152,0.16859842647145587
0.9,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,1.058798460235087,37.5,-6.864137576302658,1.4890400661191077,1.808798460235087,532.291211128235,563.5891147392448,-5.879846023508698,0.18136718032296595
0.95,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.8221056299997411,50.0,-6.4271442575564794,1.907345320735804,1.8221056299997411,532.291211128235,437.59960146790286,17.78943700002588,0.19022371287888507
0.9,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.9064160734891301,45.83333333333333,-7.0147305498233745,1.7991596331208561,1.8230827401557965,532.291211128235,482.4773095436283,9.358392651086994,0.1908740245575419
0.9,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,0.9226126217397705,45.83333333333333,-6.245369808113762,1.7260321512246504,1.839279288406437,532.291211128235,491.0985898280586,7.738737826022944,0.20165357117881716
