gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.99,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.9816329695097921,25.0,-6.992449973491918,1.6145455958128938,1.481632969509792,518.827255487442,509.2979394667533,1.8367030490207887,0.0
0.9,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1448067728093678,25.0,-7.622133104581465,1.3249867248505205,1.6448067728093678,518.827255487442,593.9569560001198,-14.48067728093677,0.11221086929005075
0.9,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.8418015888490011,41.66666666666667,-6.5520349518987375,1.969605077222179,1.6751349221823346,518.827255487442,436.74960800749534,15.819841115099887,0.13306683964977306
0.99,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.017150455896564,33.33333333333333,-7.707295708569086,1.4329450891016648,1.6838171225632306,518.827255487442,527.7253794506148,-1.7150455896564147,0.13903738904183519
0.95,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.888832710753501,41.66666666666667,-7.322468019088504,1.6951286051086063,1.7221660440868345,518.827255487442,461.15063590770234,11.116728924649895,0.16540905982160622
0.95,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,0.7306001723843092,50.0,-6.769259457539005,2.061280447145986,1.7306001723843092,518.827255487442,379.05528229680317,26.93998276156908,0.17120901575096534
0.9,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,0.815885884453031,45.83333333333333,-7.05614144064275,1.915192032694886,1.7325525511196975,518.827255487442,423.3038342217103,18.4114115546969,0.1725516216757603
0.9,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.6571861430133656,54.166666666666664,-6.7549597664561984,2.078846978597934,1.740519476346699,518.827255487442,340.9660829240021,34.28138569866343,0.1780302928056437
0.9,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,0.852371342553961,45.83333333333333,-6.8645269641362505,1.7992602230050376,1.7690380092206275,518.827255487442,442.2334843134179,14.7628657446039,0.19764183154501644
0.95,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.8117665987176537,50.0,-7.187557501277119,1.8742884545437426,1.8117665987176537,518.827255487442,421.16663650905593,18.82334012823463,0.22702529919758113
0.95,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,0.9192816736516559,45.83333333333333,-7.033044347387481,1.8306723846438204,1.8359483403183225,518.827255487442,476.948387760591,8.071832634834402,0.2436545263841089
0.9,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.004520610773322,41.66666666666667,-7.180474154425708,1.5946249639517702,1.8378539441066555,518.827255487442,521.1726715680917,-0.45206107733221046,0.2449649662542802
0.9,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.6025160873500534,62.5,-6.5154658756237795,2.333312478250502,1.8525160873500535,518.827255487442,312.60176798686007,39.748391264994666,0.25504778473205
0.9,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,1.0195342014287434,41.66666666666667,-7.1135217040701635,1.6513718995240554,1.8528675347620769,518.827255487442,528.9621316028558,-1.953420142874342,0.25528946702918
0.9,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,0.8592925579279338,50.0,-7.097460986378616,1.9088436778996032,1.8592925579279338,518.827255487442,445.82439949053366,14.070744207206623,0.25970780759654355
0.95,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1235791308601664,37.5,-7.424364593706608,1.3623173670402078,1.8735791308601664,518.827255487442,582.9434767871455,-12.357913086016627,0.2695323550146014
