gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.99,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,1.1756835363858322,12.5,-7.016250717074804,1.327102273933158,1.4256835363858322,491.7176321744923,578.104324698175,-17.56835363858323,0.0
0.9,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.2866121099372234,8.333333333333332,-7.289230122987249,1.3465026127950168,1.4532787766038902,491.7176321744923,632.649860225359,-28.661210993722335,0.018252411602018723
0.99,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1219188253356696,16.666666666666664,-7.331774857093492,1.231879922814742,1.4552521586690028,491.7176321744923,551.6672682860432,-12.191882533566947,0.019557672270737514
0.9,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.7190867594019108,37.5,-6.215264671064665,2.0185373353197185,1.4690867594019108,491.7176321744923,353.5876386611364,28.09132405980892,0.02870833828890772
0.95,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.0219233633356886,25.0,-6.775489718352253,1.7208780639166457,1.5219233633356886,491.7176321744923,502.49773648321815,-2.1923363335688584,0.0636562291219459
0.99,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1089924549865453,20.833333333333336,-6.686122342022162,1.4195809073817587,1.525659121653212,491.7176321744923,545.3111440653613,-10.899245498654537,0.06612718418224951
0.95,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.9626084110807555,29.166666666666668,-7.547054037716156,1.6087789332789801,1.5459417444140888,491.7176321744923,473.33152860787936,3.739158891924456,0.07954278687585238
0.99,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.0602685433501455,25.0,-7.0970109425985175,1.510462334765243,1.5602685433501455,491.7176321744923,521.3527376052316,-6.026854335014556,0.08901900919005967
0.95,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.8282973464174006,37.5,-6.788011225842835,2.040142462685729,1.5782973464174006,491.7176321744923,407.2884099167794,17.170265358259936,0.10094386042074181
0.95,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,1.1743739583033215,20.833333333333336,-6.966748969118318,1.5421092158286893,1.5910406249699882,491.7176321744923,577.4603820642951,-17.43739583033214,0.10937268957616983
0.9,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.122237761371853,25.0,-6.984467515666687,1.4225417662123863,1.622237761371853,491.7176321744923,551.8240947585705,-12.223776137185304,0.13000751536176078
0.95,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,0.8756055711445758,37.5,-7.0361139336264475,1.8006426565555396,1.6256055711445758,491.7176321744923,430.5506981620048,12.439442885542414,0.1322350969911757
0.9,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,0.8766579015828286,37.5,-6.809357498609235,1.93048430948116,1.6266579015828286,491.7176321744923,431.0681475933676,12.334209841717133,0.13293114341615858
0.99,0.0001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.2138739656521154,20.833333333333336,-8.562494388557752,1.3236963025326673,1.630540632318782,491.7176321744923,596.8832321487191,-21.38739656521153,0.13549931093245568
0.95,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,0.8122876023643305,41.66666666666667,-6.8522742354140735,2.0515713464064778,1.6456209356976639,491.7176321744923,399.4161364792841,18.771239763566953,0.14547392619869798
0.99,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,0.8215086274545056,41.66666666666667,-6.809230210553514,2.0242715648034415,1.654841960787839,491.7176321744923,403.9502771028466,17.849137254549436,0.1515730195208964
0.9,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,0.749611179937666,45.83333333333333,-6.54053821427334,2.0615656677356164,1.6662778466043324,491.7176321744923,368.59703445047643,25.038882006233393,0.1591370955465776
0.9,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.8345015537106321,41.66666666666667,-6.689045920701976,2.0082510955120187,1.6678348870439654,491.7176321744923,410.3391280365269,16.54984462893679,0.1601669739879536
0.9,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.7542436460161797,45.83333333333333,-6.420866949221432,2.0331718269940726,1.6709103126828462,491.7176321744923,370.8748997017318,24.57563539838203,0.16220116300637422
0.99,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.0203263296621248,33.33333333333333,-7.554709500975558,1.7912388717481422,1.6869929963287913,491.7176321744923,501.7124468667504,-2.0326329662124696,0.17283878598958535
0.99,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,1.1870906148058396,25.0,-7.00846833617029,1.4887285815644076,1.6870906148058396,491.7176321744923,583.7133862888898,-18.709061480583962,0.17290335410383142
0.9,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,0.938630597848187,37.5,-6.8888862550066365,1.8173596149384443,1.688630597848187,491.7176321744923,461.5412150604386,6.136940215181297,0.17392195021413676
0.99,0.0003,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1087398242119688,29.166666666666668,-6.949656930916669,1.6239152924777824,1.6920731575453023,491.7176321744923,545.1869210590721,-10.873982421196883,0.17619897393488518
0.95,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.2871408507588817,20.833333333333336,-8.186125007018083,1.4286727826268861,1.7038075174255485,491.7176321744923,632.9098514102188,-28.714085075888168,0.1839604706541749
